K? n?ng m?m,??i s? tuy?n tính,Gi?i tích 1,Tin h?c ??i c??ng,V?t lý ?i?n t?,Gi?i tích 2,L?p trình nâng cao,Môn t? ch?n 1,Thi?t k? Web,Toán r?i r?c,C?u trúc d? li?u và gi?i thu?t,Ki?n trúc và t? ch?c máy tính,L?p trình h??ng ??i t??ng,Xác su?t th?ng kê,H? ?i?u hành,Công ngh? Java,C? s? d? li?u,Phân tích thi?t k? thu?t toán,X?p lo?i h?c t?p
B,A,A,C,A,A,C,A,A,A,B,A,A,C,A,B,B,A,Gi?i
A,B,C,C,C,B,D,A,B,C,B,C,B,B,A,A,C,A,Khá
B,A,A,A,A,A,A,A,B,A,B,A,A,A,A,A,A,B,Xu?t s?c
B,A,B,A,A,B,A,A,A,A,B,B,A,A,A,A,A,A,Xu?t s?c
C,D,C,C,B,D,D,A,B,B,C,C,C,D,D,B,C,C,Khá
B,A,A,C,A,A,A,A,A,A,C,B,A,A,A,A,A,B,Gi?i
B,C,B,A,A,A,B,A,A,A,B,A,B,B,A,A,A,B,Gi?i
A,A,C,A,A,C,A,B,A,B,B,C,B,A,A,A,B,C,Gi?i
B,D,B,B,B,C,B,B,A,B,C,B,B,B,B,A,B,C,Khá
B,B,B,B,A,B,A,B,B,A,B,C,A,B,A,B,B,B,Gi?i
A,B,A,B,B,D,C,A,A,C,C,C,A,A,A,A,B,B,Gi?i
B,D,D,D,B,B,D,A,B,B,C,C,D,C,A,A,C,B,Khá
B,C,C,B,C,A,B,B,B,A,B,C,C,B,C,A,C,B,Khá
C,C,C,C,D,C,C,C,C,C,B,D,B,C,C,A,D,B,Khá
A,C,B,A,C,C,A,A,B,B,B,B,B,C,B,B,B,B,Gi?i
A,B,B,C,A,D,A,A,B,B,B,B,A,B,A,A,B,A,Gi?i
C,D,A,B,C,C,C,A,D,C,D,B,B,C,C,A,D,B,Khá
A,C,A,A,B,A,A,A,A,B,A,B,A,A,A,A,A,B,Gi?i
A,A,A,A,B,A,A,A,A,A,B,A,A,B,A,A,B,A,Xu?t s?c
A,B,C,A,C,B,A,A,A,C,B,C,C,A,A,A,B,A,Gi?i
A,A,A,A,A,A,A,A,B,A,A,A,A,A,A,A,A,A,Xu?t s?c
D,B,B,D,B,C,B,B,C,C,C,B,C,C,A,A,C,B,Khá
A,A,B,A,A,B,B,A,B,A,A,A,A,B,A,A,B,A,Xu?t s?c
C,D,D,C,B,C,D,A,D,D,B,C,C,D,B,A,B,B,Khá
B,C,D,C,B,C,D,B,B,C,C,C,C,C,C,B,C,B,Khá
B,C,B,C,A,C,B,A,C,C,D,B,B,B,A,A,B,B,Khá
B,A,A,A,A,A,A,B,A,A,B,A,B,A,A,A,B,A,Gi?i
B,C,A,B,C,C,B,B,C,B,C,C,D,A,A,B,C,B,Khá
C,C,A,C,A,A,A,B,B,A,C,C,C,A,B,B,B,B,Khá
A,D,D,A,B,B,A,B,B,C,C,B,B,B,A,A,C,B,Gi?i
A,B,B,D,C,A,A,B,C,A,B,C,B,B,A,A,C,B,Khá
B,B,A,A,C,A,A,A,A,A,A,A,A,B,A,B,A,A,Xu?t s?c
C,C,D,C,D,D,D,C,C,C,B,C,D,D,B,A,D,B,Khá
B,C,C,A,B,C,D,A,C,D,C,B,C,C,C,A,C,B,Khá
B,B,B,C,C,C,C,A,B,C,B,B,C,C,B,A,B,B,Khá
B,A,A,A,A,A,A,A,A,A,A,C,A,A,C,B,B,A,Gi?i
C,D,D,C,D,D,D,B,B,B,D,C,D,D,C,B,C,B,Khá
B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,Xu?t s?c
B,C,C,A,C,B,B,A,B,B,C,C,A,B,A,A,C,B,Khá
B,C,C,C,D,B,D,A,C,D,B,C,B,C,C,B,B,D,Khá
A,B,C,D,C,D,C,C,C,D,C,D,D,B,C,A,C,B,Khá
C,C,A,D,B,B,C,B,B,B,B,D,D,B,A,A,D,B,Khá
B,B,B,A,B,B,B,B,D,B,C,C,C,C,C,B,A,B,Khá
A,A,B,B,B,C,B,A,C,C,B,C,C,C,B,A,D,B,Khá
B,A,A,B,B,C,C,C,B,C,C,C,C,C,C,B,C,B,Khá
C,D,B,D,C,B,D,D,C,D,B,C,D,B,C,B,B,B,Khá
A,A,A,A,A,A,D,B,C,B,C,B,A,B,A,B,A,A,Gi?i
B,A,B,A,A,A,B,B,A,B,A,B,A,B,B,A,B,A,Gi?i
A,A,A,C,A,A,C,B,C,A,A,B,A,B,A,B,A,A,Gi?i
B,C,A,C,C,C,C,B,B,D,C,C,C,D,A,A,C,A,Khá
B,B,B,B,A,B,D,C,B,C,C,C,B,B,A,A,B,A,Gi?i
C,C,D,D,A,B,C,C,C,C,C,D,C,B,C,A,B,C,Khá
B,A,B,B,A,A,A,B,A,A,A,A,A,A,A,A,B,A,Xu?t s?c
B,C,B,B,A,A,C,B,B,A,B,D,A,B,A,A,A,A,Gi?i
B,C,D,A,C,B,A,B,B,C,B,D,A,D,C,A,C,A,Khá
B,A,B,A,A,A,C,B,B,C,B,D,A,D,B,A,C,A,Gi?i
C,C,A,A,A,A,C,B,A,B,B,B,C,C,C,A,A,A,Gi?i
C,B,C,A,A,A,B,B,B,B,C,C,B,B,C,A,C,A,Khá
D,D,B,D,C,B,D,C,C,D,C,C,B,C,D,A,C,C,Trung bình
C,C,C,B,C,A,A,B,D,C,C,C,A,B,B,A,C,A,Khá
D,B,A,B,A,A,A,B,B,A,B,B,A,A,A,A,A,A,Xu?t s?c
C,B,B,C,A,A,B,B,A,B,B,C,B,B,B,A,A,A,Gi?i
B,B,A,A,B,A,D,B,D,C,B,C,A,B,A,B,C,A,Gi?i
B,C,C,A,C,A,B,B,C,B,B,B,B,C,B,A,C,A,Khá
C,C,C,B,C,B,B,C,C,C,B,B,A,C,B,A,B,B,Khá
D,A,A,B,A,A,A,B,B,A,C,B,A,B,A,A,A,A,Gi?i
C,C,C,B,A,A,A,B,C,D,C,C,A,C,A,A,B,A,Gi?i
B,B,B,A,C,A,A,B,B,C,B,D,A,C,C,A,B,B,Khá
B,B,B,A,C,C,B,B,B,D,B,C,C,D,A,A,A,A,Khá
A,B,B,A,A,A,A,B,B,B,A,B,C,B,A,A,A,A,Gi?i
B,B,B,C,A,A,C,B,C,B,C,C,A,A,B,A,B,B,Khá
B,C,C,C,A,A,D,B,B,B,C,B,B,B,A,A,C,B,Khá
C,C,A,A,A,A,B,B,C,B,A,C,B,C,A,A,A,B,Gi?i
B,B,B,A,B,D,B,B,C,B,B,C,A,A,B,B,A,A,Gi?i
C,C,B,D,C,B,B,C,C,D,B,D,A,B,C,A,B,A,Khá
B,B,B,B,C,B,B,B,C,B,C,B,A,B,B,A,C,B,Khá
C,C,C,C,A,A,D,B,B,D,C,C,A,C,C,A,A,A,Khá
B,C,D,A,B,C,D,C,C,B,C,C,D,D,C,B,B,A,Khá
B,A,A,A,A,A,B,B,C,B,A,B,B,B,A,A,B,A,Khá
C,C,C,A,B,B,B,C,B,D,C,D,A,B,C,A,B,A,Khá
B,D,C,A,A,A,D,B,B,C,D,C,A,B,D,A,B,A,Khá
A,A,A,A,B,B,A,A,B,B,A,B,A,C,A,A,B,A,Gi?i
A,B,C,A,B,A,D,C,B,B,B,B,B,A,A,A,B,A,Gi?i
B,B,B,D,C,A,A,B,C,C,C,B,C,C,A,A,A,B,Khá
B,B,B,A,C,B,C,B,A,C,C,D,B,B,C,A,B,A,Khá
B,C,B,B,A,B,C,B,C,B,D,C,B,C,B,A,C,B,Khá
B,C,B,B,A,A,A,B,C,B,B,B,A,B,B,A,B,A,Khá
A,A,C,A,B,A,A,B,A,B,B,B,A,D,A,A,A,A,Gi?i
B,D,B,A,C,A,D,B,B,A,C,D,A,C,D,A,C,C,Khá
B,B,B,C,B,B,A,B,C,C,C,C,C,A,C,B,B,B,Khá
B,A,B,A,A,B,D,B,B,C,C,C,C,A,B,A,B,B,Gi?i
B,C,D,A,C,C,C,B,A,C,C,C,A,B,A,A,C,A,Khá
B,A,B,A,B,B,A,C,B,B,B,B,B,A,A,B,B,B,Gi?i
B,D,D,D,C,C,C,B,C,B,D,C,B,C,D,B,C,A,Khá
C,B,C,D,A,A,C,B,C,C,C,D,B,A,B,A,B,B,Khá
B,A,B,C,B,B,B,B,B,C,D,B,B,A,A,A,B,B,Gi?i
C,A,C,B,C,A,A,B,A,C,D,D,A,D,A,A,B,A,Khá
C,C,B,B,B,B,C,C,C,C,D,D,C,D,A,A,C,B,Khá
D,B,B,C,A,A,A,C,D,C,C,C,B,B,C,A,C,A,Khá
B,C,B,D,C,D,B,B,D,C,D,C,C,D,B,A,D,B,Khá
B,A,A,D,A,A,B,B,B,C,B,D,C,A,A,B,A,B,Gi?i
B,A,A,A,A,A,A,B,A,D,D,B,A,B,A,A,B,B,Gi?i
C,A,C,D,B,B,D,C,C,C,C,D,B,C,D,B,A,B,Khá
A,C,B,B,C,C,A,C,B,C,B,B,A,C,C,A,A,A,Gi?i
B,A,A,C,B,A,D,B,C,C,C,C,B,A,A,A,A,A,Khá
B,B,B,A,B,A,B,C,A,C,C,C,A,C,C,B,B,B,Khá
C,A,A,A,A,A,D,C,B,B,C,D,A,B,A,B,A,A,Gi?i
B,A,A,B,A,A,A,A,B,B,B,B,A,A,A,A,A,A,Gi?i
C,B,C,B,B,C,A,B,D,C,C,D,C,C,D,B,D,B,Khá
A,D,D,B,A,C,B,B,B,C,C,D,B,B,A,B,B,A,Khá
C,A,B,D,A,C,C,C,D,C,D,C,D,C,C,B,C,B,Khá
C,C,D,A,C,D,C,C,C,D,C,C,A,B,C,A,C,B,Khá
B,C,B,D,C,B,D,C,C,D,C,D,C,A,B,B,D,B,Khá
A,A,A,A,A,A,A,B,B,B,B,B,A,A,A,A,C,A,Gi?i
C,C,B,A,B,B,A,C,A,D,B,C,B,A,C,B,B,B,Khá
D,B,D,C,C,B,B,B,D,D,D,C,C,D,B,B,B,B,Khá
B,A,A,B,B,A,B,B,A,C,B,D,A,B,C,A,B,A,Gi?i
A,A,A,B,A,A,B,A,B,B,A,B,A,A,A,A,B,A,Gi?i
C,D,C,D,B,B,C,B,A,D,C,B,A,D,B,A,C,B,Khá
D,D,C,D,C,B,C,B,C,D,B,C,D,C,C,A,B,B,Khá
B,C,C,D,C,B,D,C,D,C,D,D,B,B,B,B,C,B,Trung bình
A,D,C,D,D,D,D,C,C,D,C,C,C,B,B,B,D,C,Trung bình
B,B,B,C,B,B,D,C,D,B,B,D,B,C,B,A,B,B,Khá
A,B,B,A,A,C,A,B,C,D,D,B,B,B,A,A,A,A,Gi?i
C,C,D,A,B,B,D,C,A,D,C,D,A,C,B,A,B,B,Khá
A,A,A,A,A,A,C,B,A,C,B,C,A,A,A,A,C,A,Gi?i
B,B,B,B,B,A,A,B,C,B,C,B,C,A,A,A,B,B,Khá
C,A,A,A,C,A,A,B,A,A,A,A,A,A,C,B,C,A,Gi?i
B,A,C,C,B,B,D,C,C,D,C,C,B,C,B,B,B,B,Khá
C,A,B,D,A,A,B,B,C,C,C,D,B,A,A,A,C,B,Khá
B,D,D,A,B,C,C,B,C,B,C,C,B,D,D,A,C,B,Khá
B,B,A,A,B,A,B,B,C,C,D,C,A,A,A,A,B,A,Gi?i
B,A,A,B,A,A,B,C,B,C,D,C,C,A,D,B,D,B,Khá
B,D,C,C,C,C,D,C,B,B,C,C,C,C,C,A,C,B,Khá
D,C,C,A,D,B,C,C,A,C,C,B,A,A,A,A,C,A,Ch?a X?p Lo?i
B,C,C,B,B,C,D,D,A,F,B,D,D,C,D,B,D,C,Ch?a X?p Lo?i
D,D,C,D,C,C,C,D,C,C,C,D,D,D,C,A,B,B,Ch?a X?p Lo?i
D,C,D,D,A,C,D,D,C,D,C,D,B,C,D,C,B,D,Ch?a X?p Lo?i
D,C,B,B,C,D,B,C,C,C,C,C,B,D,C,A,C,C,Ch?a X?p Lo?i
C,C,B,C,B,D,D,D,C,D,C,F,C,B,D,B,D,F,Ch?a X?p Lo?i
D,C,C,D,D,D,B,C,F,F,D,F,A,D,D,C,F,F,Ch?a X?p Lo?i
C,D,C,C,B,C,C,D,D,D,B,D,B,B,C,C,D,C,Ch?a X?p Lo?i
D,A,D,D,D,C,B,D,C,A,D,C,C,D,C,D,C,0,Ch?a X?p Lo?i
C,D,C,C,D,B,B,C,C,C,B,D,C,C,C,C,C,C,Ch?a X?p Lo?i
C,C,B,B,D,A,B,C,B,D,C,C,B,C,C,C,C,C,Ch?a X?p Lo?i
D,D,C,D,C,C,D,D,D,D,A,D,C,C,B,C,C,C,Ch?a X?p Lo?i
C,C,C,A,F,D,D,C,B,D,C,C,C,C,D,A,D,C,Ch?a X?p Lo?i
D,C,B,C,B,C,C,A,C,D,C,D,B,C,D,B,C,D,Ch?a X?p Lo?i
D,C,C,D,D,C,D,A,B,C,D,D,D,A,D,C,F,F,Ch?a X?p Lo?i
D,C,B,C,B,B,C,C,C,B,B,D,D,B,D,C,B,C,Ch?a X?p Lo?i
D,B,D,C,C,D,D,C,C,C,D,D,C,C,D,C,D,B,Ch?a X?p Lo?i
C,D,B,B,D,D,C,C,C,B,D,B,C,C,D,B,D,C,Ch?a X?p Lo?i
D,D,D,C,D,D,B,D,C,D,C,D,C,D,D,C,C,D,Ch?a X?p Lo?i
D,A,D,D,C,C,B,C,A,C,B,D,A,D,D,B,C,C,Ch?a X?p Lo?i
C,C,B,A,C,A,B,C,C,C,C,C,A,C,C,B,C,B,Ch?a X?p Lo?i
D,B,C,A,D,B,A,C,B,D,B,D,A,F,C,A,B,B,Ch?a X?p Lo?i
D,0,0,C,F,0.3,D,C,B,0.9,D,F,B,F,F,0,F,F,Ch?a X?p Lo?i
D,C,D,C,D,D,C,D,C,C,D,C,B,D,D,B,C,C,Ch?a X?p Lo?i
D,C,C,C,A,C,B,A,C,D,D,B,C,C,C,A,B,D,Ch?a X?p Lo?i
B,C,C,A,A,A,B,C,C,C,C,B,D,A,D,A,C,A,Ch?a X?p Lo?i
C,D,A,A,C,C,C,C,B,D,A,A,A,B,D,A,D,B,Ch?a X?p Lo?i
C,D,D,D,B,C,C,C,F,D,D,D,C,D,D,A,C,D,Ch?a X?p Lo?i
D,D,B,A,B,A,A,C,A,D,C,B,A,A,B,A,B,C,Ch?a X?p Lo?i
C,C,C,B,B,C,A,C,C,D,D,D,D,D,D,C,F,F,Ch?a X?p Lo?i
C,F,D,D,A,D,D,D,D,C,D,C,F,C,C,C,F,C,Ch?a X?p Lo?i
C,D,D,B,D,B,D,C,C,D,B,D,A,F,C,C,D,F,Ch?a X?p Lo?i
C,B,B,D,B,C,D,A,D,B,D,D,C,C,D,C,D,C,Ch?a X?p Lo?i
C,D,C,C,A,D,D,B,C,D,C,D,D,A,A,D,D,D,Ch?a X?p Lo?i
C,D,C,B,D,C,D,D,C,C,D,C,C,D,D,D,C,D,Ch?a X?p Lo?i
D,D,B,B,A,C,C,C,B,C,C,C,C,C,D,C,D,C,Ch?a X?p Lo?i
B,C,F,C,D,F,F,B,D,C,F,F,D,D,D,C,D,D,Ch?a X?p Lo?i
B,B,C,B,D,B,A,C,B,C,B,B,A,B,A,A,A,C,Ch?a X?p Lo?i
D,C,C,C,C,C,B,B,D,D,D,D,D,B,C,C,C,D,Ch?a X?p Lo?i
B,C,C,D,C,D,D,D,0.6,F,F,D,C,F,D,D,C,D,Ch?a X?p Lo?i
D,C,C,B,D,C,B,C,C,C,C,C,B,A,D,A,C,C,Ch?a X?p Lo?i
B,C,B,B,C,B,C,C,C,B,C,D,A,A,C,A,B,D,Ch?a X?p Lo?i
D,C,B,B,C,C,C,C,B,D,C,C,B,C,C,C,C,D,Ch?a X?p Lo?i
B,D,C,B,C,B,D,C,D,B,B,D,B,D,A,A,B,F,Ch?a X?p Lo?i
B,D,F,C,F,F,F,D,C,D,F,F,D,F,D,D,C,F,Ch?a X?p Lo?i
B,C,B,A,B,C,C,B,C,D,B,C,B,C,C,C,B,C,Ch?a X?p Lo?i
B,B,C,C,A,A,D,C,B,B,C,B,A,B,C,C,C,C,Ch?a X?p Lo?i
B,A,C,B,D,D,C,C,D,D,D,B,A,C,D,C,D,D,Ch?a X?p Lo?i
B,A,C,C,D,C,D,C,D,D,B,D,B,C,D,C,D,D,Ch?a X?p Lo?i
A,D,C,B,C,C,C,C,D,D,D,D,D,C,C,C,C,F,Ch?a X?p Lo?i
C,C,D,B,D,C,D,C,D,D,B,D,D,C,C,C,D,D,Ch?a X?p Lo?i
C,B,C,C,F,C,C,D,D,D,B,0.2,D,D,D,D,B,D,Ch?a X?p Lo?i
B,C,C,B,C,C,D,C,C,D,B,C,C,D,C,C,C,C,Ch?a X?p Lo?i
C,C,C,A,C,D,D,C,C,C,C,D,D,D,D,D,C,D,Ch?a X?p Lo?i
B,C,B,B,B,B,B,C,C,D,C,D,A,B,D,B,C,C,Ch?a X?p Lo?i
A,B,B,B,B,A,D,C,C,C,B,C,B,A,B,A,B,B,Ch?a X?p Lo?i
B,C,D,B,B,B,F,D,0.3,D,C,D,0.9,A,F,B,C,0,Ch?a X?p Lo?i
C,D,F,B,C,D,F,D,A,D,D,C,B,F,D,D,C,D,Ch?a X?p Lo?i
B,D,D,B,C,D,C,C,B,D,D,C,C,B,C,B,C,D,Ch?a X?p Lo?i
B,A,B,C,A,C,D,C,C,C,C,C,B,D,D,C,C,C,Ch?a X?p Lo?i
B,B,D,A,C,C,A,C,D,B,D,D,B,D,C,C,D,D,Ch?a X?p Lo?i
C,B,D,C,D,C,D,C,B,C,0,C,D,B,D,A,D,C,Ch?a X?p Lo?i
B,B,B,A,D,C,D,C,C,B,C,C,B,D,C,B,D,C,Ch?a X?p Lo?i
B,C,D,C,D,C,D,B,D,A,D,C,C,D,D,B,C,A,Ch?a X?p Lo?i
D,A,B,A,B,A,A,A,0,B,0,0,A,B,C,B,D,B,Ch?a X?p Lo?i
A,B,B,B,B,C,B,B,A,B,B,C,C,B,C,A,B,B,Ch?a X?p Lo?i
B,D,D,D,D,C,D,B,D,A,D,D,D,D,C,A,C,C,Ch?a X?p Lo?i
C,D,D,D,D,D,F,B,C,D,D,D,B,D,0.8,B,C,C,Ch?a X?p Lo?i
D,C,D,D,C,D,C,D,B,D,D,D,B,D,D,C,D,D,Ch?a X?p Lo?i
B,C,B,C,B,B,D,C,D,D,D,D,B,B,D,A,D,D,Ch?a X?p Lo?i
B,D,C,B,D,C,D,C,C,D,C,C,C,D,D,A,D,D,Ch?a X?p Lo?i
B,D,C,A,C,C,D,B,C,D,C,D,B,D,D,A,B,D,Ch?a X?p Lo?i
A,C,C,B,B,B,B,B,D,D,C,C,C,B,C,B,B,B,Ch?a X?p Lo?i
A,D,C,B,C,D,C,B,C,B,C,C,B,C,D,B,C,A,Ch?a X?p Lo?i
B,D,C,C,D,D,A,B,B,C,D,D,D,D,B,A,D,B,Ch?a X?p Lo?i
B,D,C,D,D,C,B,D,B,C,B,D,B,A,C,B,D,B,Ch?a X?p Lo?i
D,C,C,A,B,C,B,C,D,B,C,D,A,D,A,B,B,B,Ch?a X?p Lo?i
D,D,D,C,C,D,B,C,C,C,D,D,C,B,B,A,C,B,Ch?a X?p Lo?i
B,A,C,B,B,B,D,B,C,B,C,D,D,D,C,C,D,A,Ch?a X?p Lo?i
C,D,D,B,C,C,C,C,B,D,D,B,C,D,D,B,C,B,Ch?a X?p Lo?i
B,D,C,A,A,C,A,B,D,C,D,A,A,D,B,B,B,A,Ch?a X?p Lo?i
B,D,C,A,C,C,D,B,B,B,B,C,C,D,C,A,C,B,Ch?a X?p Lo?i
B,B,A,B,C,A,D,C,C,C,D,D,C,C,C,B,C,C,Ch?a X?p Lo?i
B,D,B,A,B,C,C,C,C,D,C,C,D,C,C,0,D,B,Ch?a X?p Lo?i
C,A,B,A,A,A,A,B,B,B,B,B,A,B,C,B,B,A,Ch?a X?p Lo?i
C,C,A,A,B,B,D,B,C,A,C,B,A,B,A,B,A,A,Ch?a X?p Lo?i
A,C,A,A,A,A,C,B,A,A,A,A,A,A,A,A,B,A,Ch?a X?p Lo?i
B,B,D,C,C,D,D,B,D,B,C,D,D,B,B,A,C,B,Ch?a X?p Lo?i
B,D,A,A,C,C,D,B,B,C,C,B,A,C,B,B,C,A,Ch?a X?p Lo?i
B,B,C,B,C,B,D,B,A,C,C,D,C,C,C,C,B,B,Ch?a X?p Lo?i
D,C,C,B,C,A,A,B,A,C,D,D,A,B,B,B,B,A,Ch?a X?p Lo?i
D,A,A,B,B,A,B,B,B,A,B,D,A,C,B,B,B,A,Ch?a X?p Lo?i
C,C,D,A,B,B,C,B,C,A,B,B,B,B,B,A,C,A,Ch?a X?p Lo?i
B,D,D,C,B,C,C,B,B,B,C,C,D,A,D,B,B,A,Ch?a X?p Lo?i
C,D,D,B,D,D,B,D,A,D,B,D,A,A,D,A,D,B,Ch?a X?p Lo?i
B,D,D,B,C,D,D,C,B,D,D,C,D,D,D,C,D,B,Ch?a X?p Lo?i
B,B,A,B,A,A,C,C,B,D,B,C,B,D,C,B,D,A,Ch?a X?p Lo?i
B,B,D,B,A,B,C,A,D,B,D,C,B,B,A,B,C,B,Ch?a X?p Lo?i
C,D,F,C,F,B,C,D,B,F,C,D,F,D,D,D,D,C,Ch?a X?p Lo?i
C,C,D,B,C,D,D,A,C,B,D,D,D,C,C,A,B,A,Ch?a X?p Lo?i
C,B,A,B,B,A,B,A,D,A,A,D,C,B,A,B,A,B,Ch?a X?p Lo?i
B,C,B,A,A,A,D,A,D,A,D,D,B,C,B,A,B,B,Ch?a X?p Lo?i
C,C,C,C,B,C,B,B,C,A,C,C,B,C,D,A,D,B,Ch?a X?p Lo?i
B,C,B,A,C,A,B,A,A,A,C,A,A,D,C,A,B,A,Ch?a X?p Lo?i
D,D,B,F,D,C,F,C,C,D,D,D,C,D,F,C,B,C,Ch?a X?p Lo?i
C,D,C,B,A,C,D,A,F,A,C,D,C,B,C,A,B,A,Ch?a X?p Lo?i
A,D,A,A,A,C,B,A,C,A,B,C,B,B,B,A,A,A,Ch?a X?p Lo?i
C,C,C,C,D,C,F,C,C,C,F,D,A,F,D,B,F,C,Ch?a X?p Lo?i
F,F,F,D,D,D,F,C,B,C,F,D,D,0,F,0,F,0,Ch?a X?p Lo?i
A,B,C,A,B,B,D,A,A,A,D,A,B,A,D,A,A,B,Ch?a X?p Lo?i
B,C,A,C,C,B,B,B,F,C,C,D,D,C,F,B,D,C,Ch?a X?p Lo?i
C,B,B,B,B,B,C,B,C,B,C,C,B,C,C,B,B,B,Ch?a X?p Lo?i
C,B,B,B,A,C,B,B,D,B,C,C,C,B,C,B,D,B,Ch?a X?p Lo?i
C,D,B,D,B,C,D,B,D,C,C,D,C,D,B,B,B,B,Ch?a X?p Lo?i
C,C,B,B,C,B,D,B,C,C,D,C,C,D,D,B,C,C,Ch?a X?p Lo?i
B,C,D,B,C,C,D,A,C,F,C,D,D,B,D,A,C,B,Ch?a X?p Lo?i
C,C,A,A,D,D,D,B,B,D,C,D,F,B,B,B,C,C,Ch?a X?p Lo?i
B,A,B,A,A,C,B,B,D,C,C,C,C,C,D,A,C,B,Ch?a X?p Lo?i
B,C,B,B,B,A,A,A,C,A,B,C,A,A,A,A,B,B,Ch?a X?p Lo?i
B,A,B,C,0,A,B,A,B,A,C,B,A,B,B,B,B,A,Ch?a X?p Lo?i
B,C,A,D,A,A,D,B,C,A,B,C,A,C,C,A,B,B,Ch?a X?p Lo?i
C,B,A,C,D,D,D,D,C,C,C,B,D,B,B,A,B,B,Ch?a X?p Lo?i
D,D,F,C,C,D,D,C,D,B,C,D,D,D,B,A,D,B,Ch?a X?p Lo?i
B,D,B,D,C,C,A,B,C,B,C,C,B,A,B,A,C,B,Ch?a X?p Lo?i
B,B,A,B,B,B,D,B,C,D,D,D,D,D,C,B,C,B,Ch?a X?p Lo?i
C,D,B,D,C,B,D,C,D,D,C,D,D,C,C,B,C,C,Ch?a X?p Lo?i
C,C,C,B,B,D,C,B,D,C,D,D,D,C,A,A,B,B,Ch?a X?p Lo?i
B,D,C,D,A,D,C,A,C,C,C,B,C,B,C,A,C,B,Ch?a X?p Lo?i
B,B,D,D,C,D,D,B,D,D,C,D,C,C,C,B,B,B,Ch?a X?p Lo?i
C,F,C,B,D,C,C,B,C,C,D,D,C,B,F,B,D,F,Ch?a X?p Lo?i
B,B,D,D,B,D,C,A,D,D,C,D,C,D,C,A,D,B,Ch?a X?p Lo?i
C,C,C,C,B,B,D,B,C,C,C,B,C,D,D,A,B,B,Ch?a X?p Lo?i
C,F,D,C,D,C,F,0,0.6,F,D,D,D,D,F,B,D,F,Ch?a X?p Lo?i
B,B,A,A,A,B,D,B,C,A,B,C,C,D,A,B,B,A,Ch?a X?p Lo?i
B,C,D,B,A,A,C,B,B,C,B,D,A,D,B,0,C,B,Ch?a X?p Lo?i
B,B,C,A,A,B,A,B,B,D,C,D,B,C,B,A,C,B,Ch?a X?p Lo?i
D,D,F,B,C,F,F,C,D,0.9,0.6,F,0.3,D,F,0,0,F,Ch?a X?p Lo?i
C,B,A,B,A,A,D,B,B,C,B,B,D,D,C,A,C,B,Ch?a X?p Lo?i
D,D,B,D,C,B,D,C,C,D,C,C,B,C,D,A,C,C,Ch?a X?p Lo?i
A,D,D,A,C,B,C,B,F,D,F,D,D,D,D,C,D,B,Ch?a X?p Lo?i
B,C,C,B,A,B,B,B,B,B,B,D,A,C,A,B,B,A,Ch?a X?p Lo?i
B,D,B,B,C,A,B,C,A,D,B,D,A,D,D,A,B,B,Ch?a X?p Lo?i
B,A,B,A,A,A,C,B,C,B,C,C,A,C,B,B,B,A,Ch?a X?p Lo?i
C,D,D,D,B,C,D,C,C,B,C,C,D,D,C,A,C,C,Ch?a X?p Lo?i
C,B,C,A,C,A,B,B,B,C,C,C,A,C,B,A,C,B,Ch?a X?p Lo?i
C,D,D,C,B,C,C,C,C,C,C,B,B,D,B,A,C,A,Ch?a X?p Lo?i
B,C,C,C,A,A,D,B,B,B,C,B,B,B,A,A,C,B,Ch?a X?p Lo?i
B,D,B,C,B,A,C,B,D,C,C,D,D,D,D,B,D,B,Ch?a X?p Lo?i
C,C,C,C,A,A,D,B,B,D,C,C,A,C,C,A,A,A,Ch?a X?p Lo?i
C,C,C,C,D,A,F,C,D,B,B,D,D,D,A,A,B,A,Ch?a X?p Lo?i
B,D,B,C,A,C,D,B,D,D,D,C,B,D,D,B,C,B,Ch?a X?p Lo?i
C,D,C,B,B,C,C,B,C,C,C,B,B,B,B,B,B,B,Ch?a X?p Lo?i
B,C,C,C,D,B,F,C,D,B,D,C,D,F,F,A,C,C,Ch?a X?p Lo?i
C,C,D,B,C,A,F,B,D,D,C,C,F,D,C,0,B,D,Ch?a X?p Lo?i
B,C,C,A,C,B,B,C,D,C,C,D,D,F,C,B,B,C,Ch?a X?p Lo?i
C,C,D,B,A,C,D,B,C,D,D,C,D,D,B,B,B,B,Ch?a X?p Lo?i
B,B,B,C,B,B,A,B,C,C,C,C,C,A,C,B,B,B,Ch?a X?p Lo?i
B,A,B,C,B,A,C,A,D,D,C,C,B,C,C,B,C,B,Ch?a X?p Lo?i
C,A,B,A,C,C,A,B,D,D,C,D,B,C,B,B,B,A,Ch?a X?p Lo?i
B,C,D,A,C,C,C,B,A,C,C,C,A,B,A,A,C,A,Ch?a X?p Lo?i
B,C,B,C,B,D,A,C,C,D,D,D,C,C,D,A,D,A,Ch?a X?p Lo?i
C,D,B,F,C,C,D,C,F,C,D,D,D,D,F,B,D,B,Ch?a X?p Lo?i
B,A,B,C,B,A,D,B,C,C,C,F,A,D,B,B,C,C,Ch?a X?p Lo?i
B,D,C,D,C,D,C,C,C,D,D,D,B,D,C,B,B,C,Ch?a X?p Lo?i
