K? n?ng m?m,??i s? tuy?n tính,Gi?i tích 1,Tin h?c ??i c??ng,V?t lý ?i?n t?,Gi?i tích 2,L?p trình nâng cao,Môn t? ch?n 1,Thi?t k? Web,Toán r?i r?c,C?u trúc d? li?u và gi?i thu?t,Ki?n trúc và t? ch?c máy tính,L?p trình h??ng ??i t??ng,Xác su?t th?ng kê,H? ?i?u hành,Công ngh? Java,C? s? d? li?u,Phân tích thi?t k? thu?t toán,X?p lo?i h?c t?p
B,B,C,B,D,B,B,C,B,D,C,C,C,C,C,B,D,C,Khá
B,D,C,A,C,C,A,C,A,C,C,C,B,A,C,A,B,B,Khá
B,D,C,D,C,B,C,B,D,D,B,D,C,D,D,A,D,C,Khá
C,A,C,B,A,A,B,C,B,B,B,C,A,A,B,A,B,C,Khá
A,A,B,A,B,A,A,A,A,B,A,B,A,A,A,A,A,A,Xu?t s?c
C,B,A,D,B,C,C,B,C,C,C,C,C,A,C,C,B,C,Khá
C,C,B,D,A,C,D,B,D,C,D,D,D,C,C,B,D,C,Trung bình
C,B,B,D,B,C,D,A,D,B,D,D,C,C,D,C,D,C,Trung bình
B,C,C,B,B,D,A,C,D,D,D,D,B,C,C,C,C,D,Khá
C,D,B,B,D,C,C,B,B,B,B,D,B,C,B,C,D,C,Khá
D,C,B,B,D,D,C,B,C,D,C,C,A,C,C,C,C,C,Khá
B,A,C,B,A,D,A,B,C,D,B,B,A,A,C,B,A,C,Khá
C,B,C,A,C,D,C,B,B,B,C,B,A,B,C,A,B,C,Khá
D,B,C,D,D,B,D,C,C,D,C,D,C,C,D,C,C,C,Khá
A,C,C,A,B,D,C,C,C,C,C,B,B,B,D,C,C,B,Khá
D,C,C,D,A,D,C,C,D,C,B,C,C,A,A,B,C,D,Khá
C,B,C,C,C,C,D,C,A,C,C,D,D,A,D,C,C,B,Khá
B,B,D,C,B,B,D,D,C,D,D,C,D,D,D,A,D,D,Trung bình
B,B,B,A,A,A,A,B,B,B,B,B,A,A,D,B,A,C,Khá
B,A,B,A,C,B,B,C,C,B,B,C,B,A,C,A,B,A,Gi?i
A,A,B,A,A,B,A,A,A,A,A,A,A,B,A,A,A,A,Xu?t s?c
B,B,C,C,B,A,D,C,C,C,B,D,B,D,D,A,C,C,Khá
B,C,D,C,C,C,D,C,C,C,A,D,C,C,C,C,C,D,Khá
B,A,C,A,D,D,C,A,B,C,D,B,C,B,A,A,B,C,Khá
B,D,B,D,B,D,B,C,C,B,C,D,C,D,D,B,D,C,Khá
B,D,C,A,A,B,B,B,A,C,C,B,A,D,A,A,B,B,Khá
A,A,A,A,B,B,A,A,C,B,A,B,B,A,B,A,A,C,Gi?i
B,D,C,C,B,C,A,B,C,D,C,D,B,B,B,B,B,C,Khá
A,C,B,A,D,C,D,C,D,A,B,D,B,D,A,A,A,B,Khá
C,A,A,A,C,A,C,C,D,A,C,B,A,A,A,B,B,A,Gi?i
B,B,C,A,C,C,A,C,A,B,B,C,A,A,A,A,B,B,Gi?i
C,D,B,C,C,B,A,B,D,C,B,C,B,B,A,C,B,B,Khá
B,C,C,C,B,C,C,B,B,B,D,B,A,C,B,D,C,C,Khá
C,C,C,B,A,A,D,B,A,A,A,B,A,A,A,A,A,A,Xu?t s?c
B,D,C,A,D,D,D,C,B,D,D,C,B,C,D,C,D,D,Khá
B,C,D,A,B,D,A,C,A,B,A,A,A,B,A,A,B,A,Gi?i
A,C,A,A,B,A,D,B,C,A,C,C,B,A,B,A,C,D,Khá
C,D,C,C,C,B,C,C,B,D,B,D,C,B,C,B,C,D,Khá
B,C,D,B,D,B,C,D,B,A,C,C,C,B,C,B,C,D,Khá
A,B,C,A,A,A,B,B,A,A,B,C,A,A,A,A,A,A,Gi?i
C,C,C,A,D,B,C,B,C,D,C,C,A,C,C,B,C,D,Khá
C,B,C,C,D,D,D,D,C,D,B,D,D,D,D,D,D,D,Trung bình
B,C,D,B,A,C,B,B,B,B,B,B,A,A,A,A,A,A,Gi?i
A,A,A,A,D,B,C,C,C,B,B,C,C,B,B,B,A,C,Gi?i
B,C,D,A,A,C,C,C,C,D,D,D,B,D,C,C,B,C,Khá
B,B,C,A,D,B,B,C,B,B,C,C,A,C,B,B,B,D,Khá
B,C,D,B,B,B,D,B,C,C,C,C,B,B,C,B,C,D,Khá
B,A,B,A,B,A,C,C,B,A,C,D,A,A,B,B,A,B,Gi?i
A,C,A,A,A,B,A,B,A,A,D,B,A,B,A,A,B,B,Gi?i
B,C,B,B,A,A,C,D,C,A,C,C,A,B,C,C,B,A,Khá
B,D,D,A,D,B,C,C,C,C,C,B,B,C,D,C,C,D,Khá
B,A,A,B,A,A,A,C,D,B,B,B,A,B,D,D,A,D,Khá
B,B,B,B,B,C,D,B,B,C,D,C,C,D,C,C,C,D,Khá
A,A,A,A,A,A,B,A,A,A,A,A,A,B,A,B,A,A,Xu?t s?c
B,A,A,A,B,B,A,B,A,A,B,A,A,B,A,A,A,B,Gi?i
A,A,A,A,A,A,B,B,A,A,C,B,A,A,A,A,A,A,Xu?t s?c
B,C,C,A,A,C,A,B,C,A,A,D,A,D,A,A,B,B,Gi?i
B,B,B,B,A,C,A,C,A,B,B,C,C,A,C,B,B,B,Gi?i
B,D,C,B,C,D,D,C,C,D,C,C,C,C,D,A,C,B,Khá
A,C,B,A,B,B,B,C,B,B,C,C,A,C,C,B,A,B,Khá
A,D,C,A,D,C,D,C,D,D,C,D,D,C,D,C,C,B,Khá
B,B,B,A,B,C,A,B,A,B,C,B,A,B,A,A,A,B,Gi?i
B,A,A,A,A,A,B,B,C,A,D,B,A,A,C,A,B,C,Gi?i
B,C,B,A,D,C,D,B,C,C,C,D,C,D,C,C,B,C,Khá
B,A,A,A,B,A,A,C,C,A,B,D,A,A,B,A,A,A,Gi?i
B,C,B,A,B,B,A,B,A,A,B,A,A,C,A,A,B,A,Gi?i
B,B,A,A,A,B,B,C,C,B,B,B,A,A,B,A,A,A,Gi?i
C,C,C,B,B,D,B,C,D,C,B,B,A,C,C,B,B,C,Khá
B,D,D,C,B,C,B,C,D,D,C,C,D,B,C,A,C,B,Khá
B,C,D,C,B,B,C,C,C,D,D,D,C,C,D,C,C,C,Khá
A,C,B,C,C,C,D,B,C,A,B,B,B,B,C,A,A,B,Khá
C,B,C,A,C,C,C,B,C,D,B,C,B,B,D,B,C,B,Khá
A,A,B,B,B,C,B,C,A,A,B,A,B,C,C,B,B,B,Gi?i
B,A,C,C,B,A,D,B,B,B,B,B,A,B,B,B,B,A,Khá
B,D,D,D,C,C,C,B,D,D,B,D,B,D,C,B,B,B,Khá
A,D,D,C,B,D,D,C,B,B,D,D,D,C,B,C,C,B,Khá
A,A,A,B,A,A,A,B,C,A,B,A,A,A,A,A,A,A,Gi?i
B,D,D,D,B,C,C,D,C,C,B,D,D,B,C,A,C,B,Khá
B,C,C,C,B,A,A,B,C,C,B,B,C,B,C,B,D,D,Khá
B,C,D,C,D,C,A,C,A,A,C,C,A,B,B,B,A,A,Gi?i
B,B,B,A,A,B,A,C,C,C,C,B,A,A,B,B,C,B,Gi?i
B,D,D,D,A,D,C,C,A,D,D,D,D,C,D,B,C,B,Khá
B,C,A,A,A,A,D,B,B,B,C,A,B,A,B,B,A,A,Gi?i
A,A,A,B,A,A,C,B,A,A,B,A,B,B,C,A,C,C,Gi?i
B,D,C,C,C,D,D,C,C,D,C,C,C,B,C,B,B,B,Khá
B,B,C,A,A,A,A,B,A,A,B,A,A,B,A,A,A,A,Xu?t s?c
D,D,C,B,D,C,D,C,C,B,C,D,C,D,C,B,D,C,Khá
B,B,A,A,B,A,D,B,B,B,C,D,D,C,C,B,B,B,Khá
B,B,A,A,A,B,B,B,C,A,B,B,A,B,B,A,B,B,Gi?i
B,C,C,D,D,C,C,C,C,B,C,B,A,B,C,B,A,B,Khá
B,B,C,B,D,C,A,B,D,D,D,C,B,C,C,B,B,C,Khá
A,A,A,A,A,B,C,B,A,A,C,B,A,A,B,A,B,A,Xu?t s?c
A,B,C,C,B,A,A,B,C,A,C,D,B,A,B,B,A,A,Khá
A,B,A,A,A,A,A,C,B,A,B,A,A,B,B,A,B,B,Gi?i
B,B,C,B,A,D,D,B,C,C,D,D,B,A,C,D,B,A,Khá
B,C,B,B,A,C,B,B,C,D,C,A,A,C,B,C,B,B,Khá
C,C,C,A,B,C,D,A,B,C,B,C,A,C,B,A,B,B,Khá
B,B,C,A,A,D,C,C,D,B,D,D,C,D,D,B,D,D,Khá
B,D,C,C,B,C,C,C,B,D,C,B,B,C,B,B,C,B,Khá
A,A,A,A,A,B,A,A,A,B,C,B,B,A,B,A,B,A,Gi?i
B,D,B,B,A,C,D,B,B,C,C,C,A,B,C,B,D,B,Khá
C,C,C,B,C,B,B,B,B,A,C,D,D,D,C,B,B,C,Khá
A,C,B,A,B,A,B,B,C,C,C,D,B,B,C,B,A,B,Gi?i
B,A,A,A,A,C,D,B,A,A,B,C,A,A,B,B,B,B,Gi?i
C,D,C,B,A,B,D,B,B,C,C,B,A,C,C,A,B,B,Khá
B,C,D,A,C,C,D,C,C,C,D,C,C,B,C,B,C,B,Khá
A,B,C,D,B,D,D,B,D,A,C,D,C,B,D,B,C,B,Khá
B,C,C,A,A,B,C,C,B,D,C,D,A,A,C,A,B,B,Khá
B,A,C,B,A,B,B,C,B,B,B,B,A,B,C,B,B,C,Khá
A,A,B,A,A,A,C,B,B,B,C,C,B,A,B,B,A,A,Gi?i
A,B,A,C,A,B,A,B,B,A,C,B,B,B,C,A,B,B,Gi?i
B,C,B,C,C,C,A,B,C,B,B,C,B,B,C,A,B,B,Khá
B,C,B,C,B,D,B,B,C,B,B,C,C,B,C,B,C,B,Khá
B,B,B,D,B,B,C,B,B,A,A,A,A,A,A,A,A,A,Gi?i
B,C,C,A,A,D,C,C,D,C,D,B,C,A,C,B,B,B,Khá
C,B,A,A,C,A,A,A,A,A,A,B,A,C,A,A,A,A,Gi?i
B,B,A,B,A,B,C,A,B,A,C,B,B,B,A,B,A,A,Gi?i
B,D,C,C,D,D,A,B,B,C,D,D,D,D,B,A,D,B,Khá
B,D,C,B,A,D,B,B,D,B,D,D,D,B,B,B,B,B,Khá
C,C,C,B,C,D,D,B,D,C,D,D,C,D,C,A,B,A,Khá
A,A,C,A,A,C,C,A,A,A,B,A,B,B,A,A,A,A,Xu?t s?c
B,C,D,A,D,D,B,B,B,C,C,D,A,D,C,A,B,A,Khá
C,B,B,A,A,B,A,B,C,A,B,B,A,A,A,A,B,A,Gi?i
C,A,A,A,C,B,A,B,A,B,B,C,A,B,C,B,B,B,Khá
A,C,A,A,A,A,C,B,A,A,A,A,A,A,A,A,B,A,Gi?i
B,C,C,A,B,B,A,B,C,B,B,A,B,B,B,A,A,A,Gi?i
B,C,D,D,A,A,D,A,C,B,D,D,C,D,B,B,C,B,Khá
B,B,B,B,B,C,B,B,C,B,C,B,A,C,C,A,A,A,Gi?i
B,A,A,A,A,B,A,A,B,A,B,B,A,C,A,A,B,A,Gi?i
B,B,B,A,A,B,A,A,B,A,B,A,A,C,A,A,A,A,Gi?i
D,B,A,A,A,B,A,B,D,B,D,C,A,A,B,B,A,A,Khá
B,B,B,B,C,B,C,B,C,C,C,D,B,C,C,B,B,B,Khá
B,C,C,B,B,B,B,B,A,B,C,C,A,C,C,B,B,B,Khá
