mssv,HK 1,HK 1 dat,HK 1 hoc lai,HK 2,HK 2 dat,HK 2 hoc lai,HK 3,HK 3 dat,HK 3 hoc lai,HK 4,HK 4 dat,HK 4 hoc lai,HK 5,HK 5 dat,HK 5 hoc lai,HK 6,HK 6 dat,HK 6 hoc lai,HK 7,HK 7 dat,HK 7 hoc lai,HK 8,HK 8 dat,HK 8 hoc lai,xep_loai_hoc_tap
191214158,6.5,11,3,7.0,10,3,5.2,13,6,5.5,2,14,6.2,9,5,2.5,0,18,6.1,18,0,0.0,0,0,Chua xep loai
191203144,7.0,14,0,7.5,13,0,7.4,16,3,7.0,16,0,7.4,14,0,6.2,18,0,6.6,18,0,8.6,2,0,Chua xep loai
191202052,7.3,14,0,7.7,13,0,7.2,19,0,8.6,16,0,7.5,18,0,7.0,21,0,7.2,18,0,1.4,2,10,Chua xep loai
191201908,7.1,11,3,6.1,13,0,5.7,19,0,6.3,11,5,7.0,18,0,5.7,21,0,6.5,15,3,9.3,2,0,Chua xep loai
191204189,6.3,14,0,6.5,10,3,5.9,16,3,5.6,9,7,5.4,10,8,5.4,15,6,6.5,12,6,8.5,0,2,Chua xep loai
191203209,6.9,11,3,6.6,10,3,6.1,10,9,5.8,13,3,5.1,15,3,3.7,12,9,0.5,0,18,0.0,0,0,Chua xep loai
191201774,4.8,14,0,5.6,10,3,4.8,10,9,5.2,8,8,4.3,11,3,4.1,9,9,5.9,15,3,8.0,0,2,Chua xep loai
191203706,8.2,14,0,8.3,13,0,7.8,19,0,8.7,16,0,8.4,18,0,7.9,21,0,7.8,18,0,9.0,2,0,Chua xep loai
191204760,5.8,11,3,5.4,7,6,3.9,10,9,6.4,11,5,5.6,12,6,4.3,15,6,1.5,3,15,7.4,2,0,Chua xep loai
191200648,7.8,14,0,7.9,13,0,7.2,19,0,7.8,16,0,6.9,14,0,7.5,18,0,6.5,18,0,0.0,0,0,Chua xep loai
191202533,6.6,14,0,8.3,13,0,6.7,17,2,7.7,14,2,7.1,18,0,6.6,21,0,6.9,18,0,0.9,2,10,Chua xep loai
191203295,7.4,14,0,7.3,13,0,6.5,16,3,7.0,16,0,6.3,15,3,6.6,15,6,7.2,15,3,8.5,0,2,Chua xep loai
191200755,7.5,14,0,7.9,13,0,7.7,19,0,8.4,16,0,8.3,14,0,6.6,18,0,7.1,18,0,9.0,2,0,Chua xep loai
191210823,8.1,14,0,8.9,13,0,7.7,19,0,7.9,16,0,8.4,14,0,7.7,18,0,7.8,18,0,8.7,2,0,Chua xep loai
191213790,6.0,14,0,5.9,13,0,6.2,19,0,6.4,14,2,5.9,18,0,5.8,12,9,6.7,18,0,1.5,2,10,Chua xep loai
191204020,6.6,14,0,7.6,10,3,6.4,19,0,6.7,16,0,6.6,14,0,6.3,18,0,7.3,15,3,1.4,0,12,Chua xep loai
191200907,6.3,14,0,7.5,13,0,7.4,19,0,6.1,11,5,7.6,14,0,6.5,15,3,6.8,18,0,8.8,2,0,Chua xep loai
191201014,6.0,11,3,6.6,10,3,7.0,16,3,7.3,12,4,7.5,14,0,5.1,12,6,6.8,18,0,7.3,2,0,Chua xep loai
191241039,7.4,14,0,7.6,13,0,5.6,19,0,6.1,5,11,6.8,15,3,4.6,12,9,2.1,3,15,0.0,0,2,Chua xep loai
191204771,5.8,11,3,7.3,4,9,6.0,13,6,5.6,8,8,6.3,12,6,6.2,15,6,6.1,15,3,9.0,2,0,Chua xep loai
191202380,7.8,14,0,7.0,13,0,6.3,17,2,6.7,14,2,7.7,14,0,5.0,6,12,7.1,12,6,8.4,2,0,Chua xep loai
191201136,8.0,14,0,8.1,13,0,7.6,19,0,8.1,16,0,7.5,14,0,7.6,18,0,7.2,18,0,0.0,0,2,Chua xep loai
191201164,7.3,14,0,5.9,13,0,5.9,16,3,6.1,8,8,6.2,14,0,2.1,0,18,6.9,18,0,9.0,2,0,Chua xep loai
